2026-03-02 15:50:49,351 | INFO | app.main | Database initialized
2026-03-02 15:50:49,609 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 15:50:49,609 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
2026-03-02 15:50:49,613 | INFO | apscheduler.scheduler | Added job "Monthly KPI Generation" to job store "default"
2026-03-02 15:50:49,613 | INFO | apscheduler.scheduler | Scheduler started
2026-03-02 15:50:49,614 | INFO | app.main | Scheduler started
2026-03-02 15:52:25,756 | INFO | app.main | Scheduler stopped
2026-03-02 15:52:25,759 | INFO | app.main | Application shutdown
2026-03-02 15:52:25,768 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-03-02 15:57:14,250 | INFO | app.main | Database initialized
2026-03-02 15:57:14,373 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 15:57:14,373 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
2026-03-02 15:57:14,376 | INFO | apscheduler.scheduler | Added job "Monthly KPI Generation" to job store "default"
2026-03-02 15:57:14,376 | INFO | apscheduler.scheduler | Scheduler started
2026-03-02 15:57:14,376 | INFO | app.main | Scheduler started
2026-03-02 16:19:08,068 | INFO | app.main | Scheduler stopped
2026-03-02 16:19:08,073 | INFO | app.main | Application shutdown
2026-03-02 16:19:08,079 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-03-02 16:19:18,878 | INFO | app.main | Database initialized
2026-03-02 16:19:18,986 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 16:19:18,987 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
2026-03-02 16:19:18,990 | INFO | apscheduler.scheduler | Added job "Monthly KPI Generation" to job store "default"
2026-03-02 16:19:18,990 | INFO | apscheduler.scheduler | Scheduler started
2026-03-02 16:19:18,991 | INFO | app.main | Scheduler started
2026-03-02 16:31:22,346 | INFO | app.main | Scheduler stopped
2026-03-02 16:31:22,350 | INFO | app.main | Application shutdown
2026-03-02 16:31:22,356 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-03-02 16:31:25,559 | INFO | app.main | Database initialized
2026-03-02 16:31:25,650 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 16:31:25,650 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
2026-03-02 16:31:25,653 | INFO | apscheduler.scheduler | Added job "Monthly KPI Generation" to job store "default"
2026-03-02 16:31:25,653 | INFO | apscheduler.scheduler | Scheduler started
2026-03-02 16:31:25,653 | INFO | app.main | Scheduler started
2026-03-02 16:31:27,722 | INFO | app.main | Database initialized
2026-03-02 16:31:27,790 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 16:31:27,790 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
2026-03-02 16:31:27,792 | INFO | apscheduler.scheduler | Added job "Monthly KPI Generation" to job store "default"
2026-03-02 16:31:27,792 | INFO | apscheduler.scheduler | Scheduler started
2026-03-02 16:31:27,793 | INFO | app.main | Scheduler started
2026-03-02 16:31:29,769 | INFO | app.main | Scheduler stopped
2026-03-02 16:31:29,769 | INFO | app.main | Application shutdown
2026-03-02 16:31:29,769 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-03-02 16:31:34,374 | INFO | app.main | Database initialized
2026-03-02 16:31:34,452 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 16:31:34,452 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
2026-03-02 16:31:34,454 | INFO | apscheduler.scheduler | Added job "Monthly KPI Generation" to job store "default"
2026-03-02 16:31:34,455 | INFO | apscheduler.scheduler | Scheduler started
2026-03-02 16:31:34,455 | INFO | app.main | Scheduler started
2026-03-02 16:38:42,677 | INFO | app.main | Scheduler stopped
2026-03-02 16:38:42,678 | INFO | app.main | Application shutdown
2026-03-02 16:38:42,680 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-03-02 16:38:46,325 | INFO | app.main | Database initialized
2026-03-02 16:38:46,437 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 16:38:46,437 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
2026-03-02 16:38:46,440 | INFO | apscheduler.scheduler | Added job "Monthly KPI Generation" to job store "default"
2026-03-02 16:38:46,440 | INFO | apscheduler.scheduler | Scheduler started
2026-03-02 16:38:46,440 | INFO | app.main | Scheduler started
2026-03-02 16:38:55,931 | INFO | app.main | Scheduler stopped
2026-03-02 16:38:55,931 | INFO | app.main | Application shutdown
2026-03-02 16:38:55,932 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-03-02 16:38:59,414 | INFO | app.main | Database initialized
2026-03-02 16:38:59,494 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 16:38:59,494 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
2026-03-02 16:38:59,496 | INFO | apscheduler.scheduler | Added job "Monthly KPI Generation" to job store "default"
2026-03-02 16:38:59,496 | INFO | apscheduler.scheduler | Scheduler started
2026-03-02 16:38:59,496 | INFO | app.main | Scheduler started
2026-03-02 16:55:12,769 | INFO | app.main | Scheduler stopped
2026-03-02 16:55:12,772 | INFO | app.main | Application shutdown
2026-03-02 16:55:12,781 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-03-02 16:55:48,011 | INFO | app.main | Database initialized
2026-03-02 16:55:48,130 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-02 16:55:48,131 | INFO | app.services.scheduler.scheduler | Scheduler configured — last day of month 20:00 UTC
